protein,seq_len,anchor_positions,alpha,intervention_target,P_L5,P_L2,P_L,kl_div,l10h9_top3_mass,l10h9_anchor_mass,l10h9_top1_mass,l10h9_entropy,l10h9_entropy_norm
1A8LA,226,"[137, 25, 27]",0.0,ln_all,0.9777777777777777,0.8495575221238938,0.6902654867256637,0.0,0.9061628580093384,0.8950357437133789,0.5695821642875671,2.0255627632141113,0.2590174435839938
1A8LA,226,"[137, 25, 27]",0.5,ln_all,0.9777777777777777,0.8495575221238938,0.6858407079646017,0.002915370976552367,0.6230695247650146,0.51141357421875,0.3139338791370392,3.8395891189575195,0.4909848147224113
1A8LA,226,"[137, 25, 27]",1.0,ln_all,0.9777777777777777,0.8761061946902655,0.6858407079646017,0.010781221091747284,0.5183806419372559,0.11767128854990005,0.24728941917419434,4.650917053222656,0.5947328156523753
1A8LA,226,"[137, 25, 27]",2.0,ln_all,0.9777777777777777,0.8938053097345132,0.6858407079646017,0.017244655638933182,0.5757257342338562,0.0025994284078478813,0.2836105525493622,4.4985809326171875,0.5752529391255572
1A8LA,226,"[137, 25, 27]",4.0,ln_all,0.9777777777777777,0.8938053097345132,0.6814159292035398,0.019469553604722023,0.5766075849533081,1.7495266320111114e-06,0.28565850853919983,4.463966369628906,0.5708266257183267
1A8LA,226,"[137, 25, 27]",8.0,ln_all,0.9777777777777777,0.8938053097345132,0.6814159292035398,0.031501974910497665,0.5766082406044006,3.784426765018889e-12,0.2851009666919708,4.458498001098633,0.5701273618579271
1A8LA,226,"[137, 25, 27]",10.0,ln_all,0.9777777777777777,0.8849557522123894,0.6415929203539823,0.05011747032403946,0.5766082406044006,6.89669133434323e-15,0.2845238149166107,4.4584832191467285,0.5701254716260059
1A8LA,226,"[137, 25, 27]",12.0,ln_all,0.8888888888888888,0.8495575221238938,0.6415929203539823,0.09281402081251144,0.5766082406044006,1.360071704419492e-17,0.28398776054382324,4.458706855773926,0.5701540690057171
1A8LA,226,"[137, 25, 27]",14.0,ln_all,0.9555555555555556,0.8230088495575221,0.6238938053097345,0.19108189642429352,0.5766082406044006,2.864436957743917e-20,0.2835730016231537,4.458934783935547,0.5701832151624375
1A8LA,226,"[137, 25, 27]",16.0,ln_all,0.8666666666666667,0.7256637168141593,0.5619469026548672,0.2959946393966675,0.5766082406044006,6.369087506089128e-23,0.28330567479133606,4.459090232849121,0.5702030930852219
1A8LA,226,"[137, 25, 27]",32.0,ln_all,0.35555555555555557,0.23008849557522124,0.168141592920354,1.441220998764038,0.5766082406044006,9.949219096706201e-44,0.2832925319671631,4.458938121795654,0.5701836419890004
1A8LA,226,"[137, 25, 27]",0.0,k_only,0.9777777777777777,0.8495575221238938,0.6902654867256637,0.0,0.9061628580093384,0.8950357437133789,0.5695821642875671,2.0255627632141113,0.2590174435839938
1A8LA,226,"[137, 25, 27]",0.5,k_only,0.9777777777777777,0.8495575221238938,0.6858407079646017,7.24734491086565e-06,0.873665452003479,0.8554795980453491,0.5412994623184204,2.2742061614990234,0.29081254692880537
1A8LA,226,"[137, 25, 27]",1.0,k_only,0.9777777777777777,0.8584070796460177,0.6902654867256637,3.760108302230947e-05,0.8336580991744995,0.8043302297592163,0.5059249401092529,2.567121982574463,0.32826895585285065
1A8LA,226,"[137, 25, 27]",2.0,k_only,0.9777777777777777,0.8584070796460177,0.6902654867256637,0.00024309358559548855,0.7249237298965454,0.6652848720550537,0.41330841183662415,3.24625825881958,0.41511303953803685
1A8LA,226,"[137, 25, 27]",4.0,k_only,0.9777777777777777,0.8584070796460177,0.6902654867256637,0.001684918999671936,0.5209776163101196,0.3203592300415039,0.19351071119308472,4.38450813293457,0.5606659584143912
1A8LA,226,"[137, 25, 27]",8.0,k_only,0.9777777777777777,0.8672566371681416,0.6814159292035398,0.004440161865204573,0.560181736946106,0.028123589232563972,0.27337682247161865,4.607682704925537,0.5892042531341889
1A8LA,226,"[137, 25, 27]",10.0,k_only,0.9777777777777777,0.8672566371681416,0.6814159292035398,0.004761386662721634,0.5690308213233948,0.007819758728146553,0.2796543538570404,4.551263809204102,0.5819897256927337
1A8LA,226,"[137, 25, 27]",12.0,k_only,0.9777777777777777,0.8672566371681416,0.6814159292035398,0.004866744391620159,0.5707570314407349,0.0023879234213382006,0.28135791420936584,4.526247501373291,0.578790782554598
1A8LA,226,"[137, 25, 27]",14.0,k_only,0.9777777777777777,0.8672566371681416,0.6814159292035398,0.004903277847915888,0.5711804628372192,0.0008372444426640868,0.2818448841571808,4.516724586486816,0.5775730463707789
1A8LA,226,"[137, 25, 27]",16.0,k_only,0.9777777777777777,0.8672566371681416,0.6814159292035398,0.004917495418339968,0.5713186264038086,0.0003419262357056141,0.28199779987335205,4.513106346130371,0.5771103663766464
1A8LA,226,"[137, 25, 27]",32.0,k_only,0.9777777777777777,0.8672566371681416,0.6814159292035398,0.004929982125759125,0.5713679194450378,3.1663057598052546e-06,0.2820955514907837,4.510164260864258,0.5767341492491032
1A8LA,226,"[137, 25, 27]",0.0,q_only,0.9777777777777777,0.8495575221238938,0.6902654867256637,0.0,0.9061628580093384,0.8950357437133789,0.5695821642875671,2.0255627632141113,0.2590174435839938
1A8LA,226,"[137, 25, 27]",0.5,q_only,0.9777777777777777,0.8495575221238938,0.6902654867256637,7.577548899462272e-07,0.9065045118331909,0.8954008221626282,0.5697787404060364,2.021782398223877,0.25853403201395136
1A8LA,226,"[137, 25, 27]",1.0,q_only,0.9777777777777777,0.8495575221238938,0.6902654867256637,2.6459049422555836e-06,0.9065045118331909,0.8957222700119019,0.5699483752250671,2.018531084060669,0.25811827245412106
1A8LA,226,"[137, 25, 27]",2.0,q_only,0.9777777777777777,0.8495575221238938,0.6902654867256637,7.978074791026302e-06,0.9065045118331909,0.8962438106536865,0.5702109336853027,2.0134613513946533,0.2574699838803708
1A8LA,226,"[137, 25, 27]",4.0,q_only,0.9777777777777777,0.8495575221238938,0.6902654867256637,1.8117860236088745e-05,0.9065045118331909,0.8969107270240784,0.5704783201217651,2.007594108581543,0.2567197142457104
1A8LA,226,"[137, 25, 27]",8.0,q_only,0.9777777777777777,0.8495575221238938,0.6902654867256637,2.8989348720642738e-05,0.9072834253311157,0.8974941372871399,0.5703662633895874,2.0039548873901367,0.2562543513417542
1A8LA,226,"[137, 25, 27]",10.0,q_only,0.9777777777777777,0.8495575221238938,0.6902654867256637,3.218259371351451e-05,0.9072834253311157,0.8976391553878784,0.570121705532074,2.0036325454711914,0.2562131320908273
1A8LA,226,"[137, 25, 27]",12.0,q_only,0.9777777777777777,0.8495575221238938,0.6902654867256637,3.494208795018494e-05,0.9072834253311157,0.8977450728416443,0.5697991251945496,2.0036814212799072,0.2562193820512119
