perm,dR2_AA,dR2_3Di
0,1.25328467580621e-05,0.000385599566558259
1,0.004578868537734593,9.490858766858512e-05
2,0.0006009592877181946,0.0017796257481725863
3,0.0001833080465084569,2.185959122924519e-05
4,0.0007153208433631209,0.00019265900475029518
5,0.0003729609983390558,0.0004218841441503418
6,0.0001449872858413359,5.6629106637950954e-05
7,0.00020056100632537266,0.0005917261652367278
8,0.0013480866042149264,0.00034310815037374987
9,0.005414568176136725,3.8781667795362296e-05
10,0.0001296842812686938,4.55422090044344e-05
11,4.7334458119774325e-07,4.544474298395773e-05
12,3.821272656523433e-06,0.0005440761382233816
13,3.70309503298083e-05,0.00023372041858549242
14,7.353917834240775e-05,8.290405838384807e-06
15,0.0008393228790427587,1.3848326607557304e-05
16,0.0023150088261315593,0.0005507377730826768
17,0.000512270702850981,0.00020306205420494994
18,4.4797547086083966e-05,1.83640679837227e-05
19,0.00045659741434533885,0.0005593688592155921
20,7.55840949892006e-05,0.0023414083830639587
21,0.00014313579983493696,9.744760914398576e-05
22,0.0011640128945322736,2.7393523061025604e-07
23,0.00057029307595724,0.00019384222120522043
24,2.1830986273174702e-05,0.0034909359212611513
25,5.3491818127193724e-06,0.0024443079187632666
26,0.001599056660197662,0.006592215783945532
27,8.468360846169976e-05,0.00011831117741878394
28,6.443096708919072e-05,0.0020532852227314047
29,2.569396488150133e-05,0.00013139173544052252
30,0.002143251739966545,0.005354335619086492
31,0.00040891423104572056,0.0007024225881884227
32,0.0037718197582081725,0.0012743969806239264
33,0.0014019093382078296,0.0008791274241244373
34,0.0035709945853971137,0.0006911948391530309
35,3.0592579032262535e-05,0.0011299291662724142
36,0.0037667372215910433,0.0013832306207411937
37,0.0011846420664322066,0.004474877748274375
38,0.0002377974316949416,0.0038027556184939693
39,0.0003206602393525104,0.0004595069689702358
40,0.0014983232698458915,6.397500204591289e-05
41,5.711182163614659e-05,0.004411827278538394
42,0.0016377563853685606,1.0391584535196507e-05
43,8.509367715192617e-05,0.000612807763400558
44,0.0009817605670521257,0.001394709611055367
45,0.00033279420609344523,0.00010323096277931043
46,1.450239115463603e-07,3.533724413085082e-08
47,3.889926148015199e-05,0.0012304290564589815
48,5.216101464045053e-05,0.0005022487058831127
49,2.293639438588624e-05,0.0007485978338506172
50,0.0017821299807746493,0.0009898013355262858
51,0.0002191248393237366,0.002887100081225835
52,9.765887551116403e-05,0.00030435301864317754
53,0.0002807021998587622,0.0003623443911450197
54,2.2732119077550905e-05,0.00043560181404056486
55,1.4304046841551177e-05,3.319726634587461e-06
56,0.00017526757412156257,0.0021699020874698105
57,3.3385604721214435e-05,0.0002675234106528368
58,0.002364769127545019,0.004281706344480329
59,0.00013032170360016693,0.0013947762142976217
60,8.093375377771217e-06,0.00041105829118026627
61,0.0010602347499097942,0.00020172176054678026
62,0.0007765661678146296,0.000385437013450618
63,9.753471075646392e-05,0.0003190685789068448
64,0.0001801527870478603,0.0011776400032604828
65,3.76174903458093e-05,0.00021739736294967837
66,2.1561489720323124e-06,0.0028194877179403832
67,0.0005064537143719683,0.001291593708208083
68,0.0021492121270179076,0.0028663633684263834
69,1.247263150583322e-05,2.6582053484269785e-05
70,0.00011909065417159415,0.0002822863673528353
71,0.0036020573121275934,0.002306044821229536
72,0.00035274502152937703,0.003393588119009361
73,0.0014672821101320288,0.0014198978023979292
74,0.0002560391995488631,0.00038928841435781347
75,0.002967078041036242,0.002542260060153456
76,0.0020975975193435747,0.0004706600895522106
77,0.00014537877947040645,0.0023888059722741994
78,0.0010474775184330376,0.0006515769415026407
79,0.00023891396228148398,1.2361149320572196e-05
80,0.0025848503433717473,0.00035875270952012706
81,0.0029491622990938104,0.0011214759365087978
82,0.0011608727126457552,0.00026510659960954364
83,0.0006790049769243023,0.006190073663288054
84,0.0016325468038146385,0.001471897180278403
85,0.0007913766445905024,0.00010942052982265693
86,0.001566626120441561,0.0035876221085137106
87,0.001230339477534148,0.001261377029925348
88,0.00398526862011328,0.0002285235627661475
89,0.0006751467096601793,0.0004117204770953675
90,0.002462023203506858,6.678995739806126e-07
91,0.00018780245755545266,0.0005093906218170963
92,0.000676271405330775,0.0016200286391895302
93,0.00442303093905827,0.0005637374106681747
94,0.0018383766147973546,0.0005065549985026063
95,0.0007337057954799331,0.00043174487641184367
96,2.4301693276496117e-05,0.0019675955929628897
97,9.151469180812555e-05,0.00023252251070216
98,8.108140246398943e-05,0.001017532628850848
99,0.0013843752208058113,0.0006385271959835626
