protein,mode,alpha,segment_metric,delta_from_baseline,n_active_heads,active_head_labels,mean_anchor_mass,mean_top1_mass,mean_top3_mass,mean_entropy_norm,sum_anchor_mass,sum_top3_mass
2B61A,k_only,0.0,1.0,0.0,3,"['L10H9', 'L11H16', 'L15H2']",0.6358592323958874,0.274176965157191,0.5751013656457266,0.5295214499268669,1.9075776971876621,1.7253040969371796
2B61A,k_only,0.5,1.0025460720062256,0.002546072006225586,3,"['L10H9', 'L11H16', 'L15H2']",0.594497136461238,0.26248591889937717,0.5432230035463969,0.5567029333480912,1.7834914093837142,1.6296690106391907
2B61A,k_only,1.0,1.0050143003463745,0.005014300346374512,3,"['L10H9', 'L11H16', 'L15H2']",0.5529410891855756,0.2574426581462224,0.5189672907193502,0.5823561948168613,1.658823267556727,1.5569018721580505
2B61A,k_only,2.0,1.0095298290252686,0.009529829025268555,3,"['L10H9', 'L11H16', 'L15H2']",0.4732551492440204,0.25678227345148724,0.47884612282117206,0.627557555834851,1.4197654477320611,1.4365383684635162
2B61A,k_only,4.0,1.019478678703308,0.019478678703308105,3,"['L10H9', 'L11H16', 'L15H2']",0.3326916842100521,0.23720733324686685,0.40948264797528583,0.6991944618546265,0.9980750526301563,1.2284479439258575
2B61A,k_only,8.0,1.0443792343139648,0.044379234313964844,3,"['L10H9', 'L11H16', 'L15H2']",0.10027083632303402,0.15563326825698218,0.24964594841003418,0.8128980789204041,0.30081250896910205,0.7489378452301025
2B61A,k_only,12.0,1.0444163084030151,0.04441630840301514,3,"['L10H9', 'L11H16', 'L15H2']",0.015437867359044807,0.12078190843264262,0.20657182733217874,0.8542925817978126,0.04631360207713442,0.6197154819965363
2B61A,v_only,0.0,1.0,0.0,3,"['L10H9', 'L11H16', 'L15H2']",0.6358592323958874,0.274176965157191,0.5751013656457266,0.5295214499268669,1.9075776971876621,1.7253040969371796
2B61A,v_only,0.5,1.0016263723373413,0.0016263723373413086,3,"['L10H9', 'L11H16', 'L15H2']",0.6377944517880678,0.27444931864738464,0.5762626727422079,0.5270098298604413,1.9133833553642035,1.7287880182266235
2B61A,v_only,1.0,1.0032051801681519,0.0032051801681518555,3,"['L10H9', 'L11H16', 'L15H2']",0.6393175423145294,0.27465062340100604,0.5770604113737742,0.5247963437277202,1.9179526269435883,1.7311812341213226
